"indicator"
14
25
22
14
55
30
12
26
51
4
33
32
18
22
37
53
19
24
47
34
36
29
20
42
27
15
39
15
10
15
26
27
20
33
28
14
20
21
12
27
16
16
25
20
8
30
20
34
28
24
16
38
14
12
31
10
47
42
14
16
47
37
20
8
31
10
24
10
17
18
14
25
25
5
28
18
51
31
50
44
26
44
16
23
33
41
29
18
58
46
11
10
10
32
18
18
24
13
33
10
33
11
10
26
33
13
58
28
30
24
49
28
10
42
20
25
47
43
11
28
41
22
12
12
14
17
14
25
25
12
20
18
24
3
28
8
21
46
29
13
29
31
21
51
29
20
17
49
20
19
30
3
25
13
37
13
20
14
25
28
15
37
25
47
48
13
51
32
33
22
36
47
23
27
28
17
36
34
22
27
57
2
19
27
38
16
34
39
26
12
25
43
25
31
46
23
31
19
21
43
38
28
28
15
27
11
14
15
25
14
10
18
21
19
23
35
27
20
16
32
40
17
18
44
25
29
24
18
14
26
29
24
31
35
29
21
11
30
22
21
10
43
36
19
22
36
13
20
36
29
20
50
31
21
30
21
14
15
36
12
27
5
20
26
23
16
19
51
45
10
26
13
11
21
32
16
15
15
27
18
37
20
15
41
23
30
27
28
23
43
49
13
22
15
17
51
29
31
29
23
29
33
33
20
15
21
39
19
22
29
52
49
20
21
45
16
5
16
1
42
11
48
25
31
30
51
47
16
11
33
18
20
26
24
5
42
51
37
41
18
52
28
8
53
15
7
17
18
21
38
14
44
33
13
18
23
31
21
43
11
42
34
38
13
29
17
15
22
6
28
32
25
30
16
29
36
28
12
21
33
21
10
11
6
20
22
16
28
29
29
16
6
23
32
8
29
36
11
16
18
42
22
25
32
15
22
14
12
20
24
48
40
25
8
16
20
36
18
21
25
52
31
21
14
23
11
17
29
22
11
37
44
32
13
25
13
42
20
27
14
24
11
30
26
35
22
18
30
22
24
13
37
17
17
15
32
30
32
18
36
24
34
25
7
34
24
18
13
9
18
35
11
26
26
32
16
10
17
31
34
10
3
31
36
46
10
35
19
38
28
29
41
53
43
52
22
13
18
32
29
27
20
22
34
22
38
16
21
14
39
10
44
40
14
32
28
20
30
13
32
32
16
15
22
35
29
32
21
30
21
12
11
15
19
22
15
41
37
39
30
37
30
19
21
12
35
26
16
34
32
34
31
23
2
37
9
21
18
10
35
17
8
20
10
19
14
19
34
41
37
21
21
22
13
30
36
14
25
52
19
26
22
22
27
21
17
30
33
17
48
29
13
1
45
19
18
40
35
18
33
22
20
23
22
16
33
4
28
23
10
17
16
35
16
34
19
40
10
11
11
34
32
29
19
15
9
27
31
28
28
3
3
18
21
47
35
19
31
22
22
36
1
23
31
11
35
21
27
49
27
8
29
21
22
25
46
12
17
17
28
27
20
32
14
43
42
11
32
25
15
24
11
17
15
31
9
15
22
51
11
28
9
19
38
48
16
31
37
29
42
26
41
24
27
29
22
46
35
35
20
33
41
17
32
22
37
12
22
30
29
11
30
21
3
20
11
18
19
20
25
18
13
45
21
48
6
20
20
16
18
25
38
38
20
43
25
29
26
20
9
35
37
32
32
46
21
26
15
13
35
31
17
49
32
10
17
32
48
20
32
32
9
32
20
34
15
30
13
31
14
9
49
14
9
49
24
15
18
36
48
25
12
28
40
25
11
17
9
8
31
19
23
10
6
12
16
28
36
29
43
14
17
47
15
14
29
42
36
19
41
28
39
5
21
38
15
28
27
19
23
22
33
29
35
38
40
29
35
30
11
43
34
2
16
22
21
17
19
22
29
37
33
28
21
18
20
37
26
42
29
31
22
26
7
17
36
61
23
33
32
52
24
11
8
22
43
15
11
12
41
23
32
41
27
32
15
16
30
31
33
12
3
31
8
26
16
18
41
15
35
37
29
15
32
38
45
17
42
35
15
7
30
60
33
15
14
18
44
17
28
28
12
21
27
43
28
28
15
42
22
19
24
16
25
3
17
53
24
33
20
51
23
29
34
6
16
25
18
32
16
32
38
35
36
16
49
24
20
18
20
42
19
22
15
15
19
16
24
26
24
19
27
18
26
47
39
25
18
21
16
23
41
11
13
26
11
3
37
13
29
17
30
29
26
12
18
18
32
21
5
38
34
36
15
23
27
46
45
11
50
14
27
25
24
21
9
38
2
16
34
25
45
19
28
21
18
14
26
42
22
28
20
21
17
18
12
17
28
4
20
13
15
27
33
16
31
20
21
37
9
25
37
18
17
30
31
2
20
12
17
19
42
14
43
4
40
42
18
35
20
15
8
25
40
30
38
22
39
34
31
27
15
46
8
29
30
18
25
42
22
12
19
2
13
6
18
30
14
10
17
11
30
35
9
20
22
18
30
38
37
22
22
15
21
18
12
9
39
29
41
28
24
46
15
11
29
14
26
34
22
16
47
24
36
26
31
7
17
27
17
25
13
9
15
40
30
34
14
8
48
9
28
14
29
29
14
36
31
32
22
6
29
14
9
40
28
16
1
17
2
32
12
42
22
34
9
15
29
42
14
32
11
13
13
30
11
42
45
28
12
23
27
24
34
24
10
11
31
27
34
9
23
30
44
28
36
21
38
45
10
28
20
19
28
20
31
20
31
37
13
17
45
11
23
20
11
10
37
34
12
34
13
18
13
39
7
29
15
21
51
31
9
11
37
26
35
22
18
47
25
26
9
24
20
20
10
23
14
13
21
20
32
30
40
38
17
41
32
15
34
20
32
25
14
20
28
14
11
9
37
43
27
35
50
29
30
19
4
22
40
11
32
28
11
16
43
38
18
19
13
33
14
30
39
17
37
15
61
21
42
11
8
44
49
27
10
20
16
23
22
23
12
26
15
5
39
19
22
40
34
12
17
16
39
19
35
18
37
23
15
23
15
31
15
31
53
43
18
30
39
32
21
22
17
15
37
24
19
23
23
27
20
13
21
26
53
18
24
15
10
14
18
21
17
40
35
21
19
11
25
24
12
21
9
28
13
30
38
17
51
36
12
23
38
24
32
19
52
29
22
48
22
31
35
5
17
25
36
36
13
21
38
27
26
30
50
13
29
27
17
46
20
4
26
30
30
47
31
19
35
17
17
12
18
16
20
15
35
17
19
27
38
35
16
15
22
52
21
16
40
33
45
23
26
25
35
27
20
21
43
27
14
8
10
15
19
35
42
24
26
30
41
27
37
42
20
30
26
30
33
27
16
21
21
11
12
27
25
23
38
40
12
14
15
38
7
27
3
51
20
33
41
18
2
27
11
23
13
26
32
18
18
12
10
10
22
17
28
11
31
15
30
49
11
31
29
9
36
26
35
36
20
34
27
22
21
35
11
26
34
31
39
46
24
9
17
19
22
15
32
41
37
25
45
52
14
35
16
12
24
43
10
32
29
34
17
25
20
61
45
11
35
